amfi_code,scheme_name,amc,category,sector,first_nav_date,last_nav_date,n_obs
144905,Shriram Flexi Cap Fund - Direct Growth,Shriram Mutual Fund,Flexi Cap,,2018-10-08,2026-08-03,1925
150571,Sundaram Flexicap Fund Direct Growth,Sundaram Mutual Fund,Flexi Cap,,2022-09-07,2026-08-03,960
144546,Tata Flexi Cap Fund-Direct Plan-Growth,Tata Mutual Fund,Flexi Cap,,2018-09-10,2026-08-03,1942
153872,THE WEALTH COMPANY FLEXI CAP FUND - DIRECT GROWTH,The Wealth Company Mutual Fund,Flexi Cap,,2025-10-17,2026-08-03,194
152584,TRUSTMF Flexi Cap Fund-Direct Plan- Growth,Trust Mutual Fund,Flexi Cap,,2024-04-29,2026-08-03,559
153543,Unifi Flexi Cap Fund - Direct Growth,Unifi Mutual Fund,Flexi Cap,,2025-06-09,2026-08-03,284
120662,UTI - Flexi Cap Fund-Growth Option - Direct,UTI Mutual Fund,Flexi Cap,,2013-01-02,2026-08-03,3341
150346,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,WhiteOak Capital Mutual Fund,Flexi Cap,,2022-08-03,2026-08-03,982
131580,360 ONE Focused Fund-Direct Plan-Growth,360 ONE Mutual Fund,Focused,,2014-10-31,2026-08-03,2894
150264,BARODA BNP PARIBAS Focused Fund - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund,Focused,,2022-03-14,2026-08-03,1080
148883,Canara Robeco Focused Fund - Direct Plan - Growth Option,Canara Robeco Mutual Fund,Focused,,2021-05-18,2026-08-03,1285
150376,Edelweiss Focused Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Focused,,2022-08-03,2026-08-03,983
148411,HSBC Focused Fund - Direct Growth,HSBC Mutual Fund,Focused,,2020-07-29,2026-08-03,1483
120722,ICICI Prudential Focused Equity Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Focused,,2013-01-10,2026-08-03,3336
151777,ITI Focused Fund - Direct Plan - Growth,ITI Mutual Fund,Focused,,2023-06-21,2026-08-03,765
120488,JM Focused Fund (Direct)  - Growth Option,JM Financial Mutual Fund,Focused,,2013-01-02,2026-08-03,3342
147473,Kotak Focused Fund- Direct Plan- Growth option,Kotak Mahindra Mutual Fund,Focused,,2019-07-23,2026-08-03,1731
152010,LIC MF Focused Fund-Direct Plan-Growth,LIC Mutual Fund,Focused,,2023-07-31,2026-08-03,739
147206,Mirae Asset Focused Fund Direct Plan Growth,Mirae Asset Mutual Fund,Focused,,2019-05-15,2026-08-03,1779
122389,Motilal Oswal Focused Fund - Direct Plan Growth Option,Motilal Oswal Mutual Fund,Focused,,2013-05-15,2026-08-03,3252
152358,Old Bridge Focused Fund - Direct Growth,Old Bridge Mutual Fund,Focused,,2024-01-25,2026-08-03,621
120834,quant Focused Fund - Growth Option-Direct Plan,quant Mutual Fund,Focused,,2013-01-07,2026-08-03,3346
149533,Sundaram Focused Fund (Formerly Known as Principal Focused Multicap Fund)- Direct Plan - Growth Option,Sundaram Mutual Fund,Focused,,2022-01-03,2026-08-03,1128
147757,Tata Focused Fund-Direct Plan-Growth,Tata Mutual Fund,Focused,,2019-12-06,2026-08-03,1642
147492,Union Focused Fund - Direct Plan - Growth Option,Union Mutual Fund,Focused,,2019-08-13,2026-08-03,1716
149091,UTI Focused Fund - Direct Plan - Growth Option,UTI Mutual Fund,Focused,,2021-08-26,2026-08-03,1215
145110,Axis Large & Mid Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Large & Mid Cap,,2018-10-26,2026-08-03,1918
152408,Bajaj Finserv Large and Mid Cap Fund- Direct Plan- Growth,Bajaj Finserv Mutual Fund,Large & Mid Cap,,2024-02-29,2026-08-03,596
148474,Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option,Baroda BNP Paribas Mutual Fund,Large & Mid Cap,,2020-09-11,2026-08-03,1452
140175,Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Large & Mid Cap,,2016-11-28,2026-08-03,2388
130498,HDFC Large and Mid Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Large & Mid Cap,,2014-06-30,2026-08-03,2974
152941,Helios Large & Mid Cap Fund - Direct Plan - Growth Option,Helios Mutual Fund,Large & Mid Cap,,2024-11-04,2026-08-03,430
146772,HSBC Large & Mid Cap Fund - Direct Growth,HSBC Mutual Fund,Large & Mid Cap,,2019-04-04,2026-08-03,1804
120596,ICICI Prudential Large & Mid Cap Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Large & Mid Cap,,2013-01-02,2026-08-03,3342
152821,ITI Large & Midcap Fund - Direct Plan - Growth,ITI Mutual Fund,Large & Mid Cap,,2024-09-13,2026-08-03,464
153629,JM Large & Mid Cap Fund (Direct) - Growth Option,JM Financial Mutual Fund,Large & Mid Cap,,2025-07-30,2026-08-03,247
120158,Kotak Large & Midcap Fund - Direct- Growth,Kotak Mahindra Mutual Fund,Large & Mid Cap,,2013-01-02,2026-08-03,3341
133710,LIC MF Large & Mid Cap Fund-Direct Plan-Growth,LIC Mutual Fund,Large & Mid Cap,,2015-02-26,2026-08-03,2814
147840,Mahindra Manulife Large & Mid Cap Fund - Direct Plan -Growth,Mahindra Manulife Mutual Fund,Large & Mid Cap,,2020-01-01,2026-08-03,1625
147704,Motilal Oswal Large and Midcap Fund - Direct Plan Growth,Motilal Oswal Mutual Fund,Large & Mid Cap,,2019-10-22,2026-08-03,1673
135677,Navi Large & Midcap Fund- Direct Plan- Growth Option,Navi Mutual Fund,Large & Mid Cap,,2015-12-08,2026-08-03,2625
118675,Nippon India Vision Large & Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,Nippon India Mutual Fund,Large & Mid Cap,,2013-01-02,2026-08-03,3342
152382,PGIM India Large and Midcap Fund - Direct Plan - Growth Option,PGIM India Mutual Fund,Large & Mid Cap,,2024-02-16,2026-08-03,605
120826,quant Large & Mid Cap Fund - Growth Option-Direct Plan,quant Mutual Fund,Large & Mid Cap,,2013-01-07,2026-08-03,3344
153534,Samco Large & Mid Cap Fund - Direct Plan - Growth Option,Samco Mutual Fund,Large & Mid Cap,,2025-06-30,2026-08-03,269
119721,SBI LARGE & MIDCAP FUND -DIRECT PLAN -Growth,SBI Mutual Fund,Large & Mid Cap,,2013-01-02,2026-08-03,3349
119566,Sundaram Large and Midcap Fund Direct Plan - Growth,Sundaram Mutual Fund,Large & Mid Cap,,2013-01-08,2026-08-03,3337
154381,The Wealth Company Large & Mid Cap Fund Direct Growth,The Wealth Company Mutual Fund,Large & Mid Cap,,2026-06-12,2026-08-03,36
147750,Union Large & Midcap Fund - Direct Plan - Growth Option,Union Mutual Fund,Large & Mid Cap,,2019-12-13,2026-08-03,1636
120665,UTI Large & Mid Cap Fund - Direct Plan - Growth Option,UTI Mutual Fund,Large & Mid Cap,,2013-01-02,2026-08-03,3342
152226,Whiteoak Capital Large & Mid Cap Fund Direct Plan Growth,WhiteOak Capital Mutual Fund,Large & Mid Cap,,2023-12-26,2026-08-03,641
119528,Aditya Birla Sun Life Large Cap Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Large Cap,,2013-01-02,2026-08-03,3341
120465,Axis Large Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Large Cap,,2013-01-02,2026-08-03,3350
152783,BAJAJ FINSERV LARGE CAP FUND - DIRECT PLAN - GROWTH,Bajaj Finserv Mutual Fund,Large Cap,,2024-08-23,2026-08-03,479
148980,BANK OF INDIA Large Cap Fund Direct Plan Growth,Bank of India Mutual Fund,Large Cap,,2021-07-01,2026-08-03,1253
150187,BARODA BNP PARIBAS LARGE CAP Fund - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund,Large Cap,,2022-03-14,2026-08-03,1080
119250,DSP Large Cap Fund - Direct Plan - Growth,DSP Mutual Fund,Large Cap,,2013-01-02,2026-08-03,3344
120030,HSBC Large Cap Fund - Direct Growth,HSBC Mutual Fund,Large Cap,,2013-01-02,2026-08-03,3342
120586,ICICI Prudential Large Cap Fund (erstwhile Bluechip Fund) - Direct Plan - Growth,ICICI Prudential Mutual Fund,Large Cap,,2013-01-02,2026-08-03,3342
148353,ITI Large Cap Fund - Direct Plan - Growth Option,ITI Mutual Fund,Large Cap,,2020-12-29,2026-08-03,1377
154307,JioBlackRock Large Cap Fund - Direct Plan - Growth Option,Jio BlackRock Mutual Fund,Large Cap,,2026-04-16,2026-08-03,75
120490,JM Large Cap Fund (Direct) - Growth Option,JM Financial Mutual Fund,Large Cap,,2013-01-02,2026-08-03,3346
120152,Kotak Large Cap  Fund - Growth - Direct,Kotak Mahindra Mutual Fund,Large Cap,,2013-01-02,2026-08-03,3341
120267,LIC MF Large Cap Fund-Direct Plan-Growth,LIC Mutual Fund,Large Cap,,2013-01-02,2026-08-03,3332
152354,Motilal Oswal Large Cap Direct Plan Growth,Motilal Oswal Mutual Fund,Large Cap,,2024-02-12,2026-08-03,609
118633,Nippon India Large Cap Fund - Direct Plan Growth Plan - Bonus Option,Nippon India Mutual Fund,Large Cap,,2013-01-03,2026-08-03,3341
138312,PGIM India Large Cap Fund - Direct Plan - Growth,PGIM India Mutual Fund,Large Cap,,2016-03-08,2026-08-03,2563
154155,Parag Parikh Large Cap Fund - Direct Plan - Growth,PPFAS Mutual Fund,Large Cap,,2026-02-06,2026-08-03,120
150440,quant Large Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Large Cap,,2022-08-12,2026-08-03,976
153239,Samco Large Cap Fund - Direct Plan - Growth Option,Samco Mutual Fund,Large Cap,,2025-03-28,2026-08-03,331
119598,SBI Large Cap FUND-DIRECT PLAN -GROWTH,SBI Mutual Fund,Large Cap,,2013-01-02,2026-08-03,3351
148507,Sundaram Large Cap Fund (Formerly Known as Sundaram Blue Chip Fund)Direct Plan - Growth,Sundaram Mutual Fund,Large Cap,,2020-10-12,2026-08-03,1430
141248,Union Largecap Fund - Direct Plan - Growth Option,Union Mutual Fund,Large Cap,,2017-05-18,2026-08-03,2268
120656,UTI Large Cap Fund - Direct Plan - Growth Option,UTI Mutual Fund,Large Cap,,2013-01-02,2026-08-03,3342
150797,WhiteOak Capital Large Cap Fund Direct Plan Growth,WhiteOak Capital Mutual Fund,Large Cap,,2022-12-02,2026-08-03,902
120505,Axis Midcap Fund - Direct Plan - Growth,Axis Mutual Fund,Mid Cap,,2013-01-02,2026-08-03,3350
150404,BANDHAN MIDCAP FUND - GROWTH - DIRECT PLAN,Bandhan Mutual Fund,Mid Cap,,2022-08-19,2026-08-03,981
153728,Bank of India Mid Cap Fund - Direct Plan Growth,Bank of India Mutual Fund,Mid Cap,,2025-08-25,2026-08-03,230
150212,BARODA BNP PARIBAS Mid Cap Fund - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund,Mid Cap,,2022-03-14,2026-08-03,1080
150817,Canara Robeco Mid Cap Fund- Direct Plan- Growth Option,Canara Robeco Mutual Fund,Mid Cap,,2022-12-06,2026-08-03,900
140228,Edelweiss Mid Cap Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Mid Cap,,2016-11-28,2026-08-03,2388
153326,Helios Mid Cap Fund - Direct Plan - Growth Option,Helios Mutual Fund,Mid Cap,,2025-03-17,2026-08-03,340
151036,HSBC Midcap Fund - Direct Growth,HSBC Mutual Fund,Mid Cap,,2022-11-28,2026-08-03,906
120381,ICICI Prudential MidCap Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund,Mid Cap,,2013-01-02,2026-08-03,3342
148733,ITI Mid Cap Fund - Direct Plan - Growth Option,ITI Mutual Fund,Mid Cap,,2021-03-10,2026-08-03,1327
150815,JM Midcap Fund (Direct) - Growth,JM Financial Mutual Fund,Mid Cap,,2022-11-25,2026-08-03,907
152002,LIC MF Mid Cap Fund-Direct Plan-Growth,LIC Mutual Fund,Mid Cap,,2023-07-31,2026-08-03,739
142110,Mahindra Manulife Mid Cap Fund - Direct Plan -Growth,Mahindra Manulife Mutual Fund,Mid Cap,,2018-02-06,2026-08-03,2090
147445,Mirae Asset Midcap Fund- Direct Growth Option,Mirae Asset Mutual Fund,Mid Cap,,2019-07-30,2026-08-03,1726
127042,Motilal Oswal Midcap Fund-Direct Plan-Growth Option,Motilal Oswal Mutual Fund,Mid Cap,,2014-02-25,2026-08-03,3056
118665,Nippon India Growth Mid Cap Fund - Direct Plan Growth Plan - Bonus Option,Nippon India Mutual Fund,Mid Cap,,2013-01-03,2026-08-03,3341
125307,PGIM India Midcap Fund - Direct Plan - Growth Option,PGIM India Mutual Fund,Mid Cap,,2013-12-05,2026-08-03,3114
120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Mid Cap,,2013-01-07,2026-08-03,3345
154210,TRUSTMF MID CAP FUND -DIRECT -GROWTH,Trust Mutual Fund,Mid Cap,,2026-03-24,2026-08-03,89
148073,Union Midcap Fund - Direct Plan - Growth Option,Union Mutual Fund,Mid Cap,,2020-03-30,2026-08-03,1563
120726,UTI Mid Cap Fund-Growth Option- Direct,UTI Mutual Fund,Mid Cap,,2013-01-02,2026-08-03,3342
150584,WhiteOak Capital Mid Cap Fund Direct Plan Growth,WhiteOak Capital Mutual Fund,Mid Cap,,2022-09-08,2026-08-03,959
149383,Axis Multicap Fund - Direct Growth,Axis Mutual Fund,Multi Cap,,2021-12-23,2026-08-03,1143
153309,BAJAJ FINSERV MULTI CAP FUND - DIRECT - GROWTH,Bajaj Finserv Mutual Fund,Multi Cap,,2025-03-03,2026-08-03,349
149303,BANDHAN MULTI CAP FUND - GROWTH - DIRECT PLAN,Bandhan Mutual Fund,Multi Cap,,2021-12-03,2026-08-03,1158
151443,Bank of India Multi Cap Fund Direct Plan - Growth,Bank of India Mutual Fund,Multi Cap,,2023-03-06,2026-08-03,837
151824,Canara Robeco Multi Cap Fund - Direct Plan - Growth Option,Canara Robeco Mutual Fund,Multi Cap,,2023-08-02,2026-08-03,737
152310,DSP Multicap Fund - Direct - Growth,DSP Mutual Fund,Multi Cap,,2024-01-31,2026-08-03,617
152094,Edelweiss Multi Cap Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Multi Cap,,2023-10-30,2026-08-03,680
152739,Franklin India Multi Cap Fund - Direct - Growth,Franklin Templeton Mutual Fund,Multi Cap,,2024-07-29,2026-08-03,496
149368,HDFC Multi Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Multi Cap,,2021-12-10,2026-08-03,1144
151290,HSBC Multi Cap Fund - Direct - Growth,HSBC Mutual Fund,Multi Cap,,2023-02-03,2026-08-03,858
149185,Kotak Multicap Fund-Direct Plan-Growth,Kotak Mahindra Mutual Fund,Multi Cap,,2021-10-06,2026-08-03,1187
150659,LIC MF Multi Cap Fund-Direct Plan-Growth,LIC Mutual Fund,Multi Cap,,2022-11-02,2026-08-03,923
151810,Mirae Asset Multicap Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Multi Cap,,2023-08-22,2026-08-03,724
152651,Motilal Oswal Multi Cap Fund-Direct Plan Growth,Motilal Oswal Mutual Fund,Multi Cap,,2024-06-21,2026-08-03,522
118651,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Bonus Option,Nippon India Mutual Fund,Multi Cap,,2013-01-02,2026-08-03,3342
152815,PGIM India Multi Cap Fund - Direct Plan - Growth Option,PGIM India Mutual Fund,Multi Cap,,2024-09-13,2026-08-03,464
152847,Samco Multi Cap Fund - Direct Plan - Growth,Samco Mutual Fund,Multi Cap,,2024-11-06,2026-08-03,428
149882,SBI Multicap Fund- Direct Plan- Growth option,SBI Mutual Fund,Multi Cap,,2022-03-15,2026-08-03,1088
149669,Sundaram Multi Cap Fund (Formerly Known as Principal Multi Cap Growth Fund)-Direct Plan - Growth Option,Sundaram Mutual Fund,Multi Cap,,2022-01-03,2026-08-03,1128
151232,Tata Multicap Fund - Direct Plan - Growth,Tata Mutual Fund,Multi Cap,,2023-02-09,2026-08-03,854
153644,TRUSTMF MULTI CAP FUND -DIRECT PLAN-GROWTH,Trust Mutual Fund,Multi Cap,,2025-07-25,2026-08-03,251
150858,Union Multicap Fund - Direct Plan - Growth Option,Union Mutual Fund,Multi Cap,,2022-12-26,2026-08-03,886
153515,UTI Multi Cap Fund - Direct Plan - Growth Option,UTI Mutual Fund,Multi Cap,,2025-05-20,2026-08-03,298
152071,WhiteOak Capital Multi Cap Fund Direct Plan Growth,WhiteOak Capital Mutual Fund,Multi Cap,,2023-09-25,2026-08-03,701
154215,Abakkus Small Cap Fund - Direct Plan - Growth,Abakkus Mutual Fund,Small Cap,,2026-03-20,2026-08-03,91
153612,BAJAJ FINSERV SMALL CAP FUND - DIRECT - GROWTH,Bajaj Finserv Mutual Fund,Small Cap,,2025-07-22,2026-08-03,253
147946,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,Bandhan Mutual Fund,Small Cap,,2020-02-26,2026-08-03,1594
145678,BANK OF INDIA Small Cap Fund Direct Plan Growth,Bank of India Mutual Fund,Small Cap,,2018-12-27,2026-08-03,1872
152128,Baroda BNP Paribas Small Cap Fund - Direct Plan - Growth option,Baroda BNP Paribas Mutual Fund,Small Cap,,2023-11-01,2026-08-03,677
146130,CANARA ROBECO SMALL CAP FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Small Cap,,2019-02-19,2026-08-03,1834
146196,Edelweiss Small Cap Fund - Direct Plan - Growth,Edelweiss Mutual Fund,Small Cap,,2019-02-14,2026-08-03,1839
130503,HDFC Small Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Small Cap,,2014-06-30,2026-08-03,2974
153912,Helios Small Cap Fund - Direct Plan - Growth Option,Helios Mutual Fund,Small Cap,,2025-11-28,2026-08-03,167
151130,HSBC Small Cap Fund - Direct Growth,HSBC Mutual Fund,Small Cap,,2022-11-28,2026-08-03,906
147919,ITI Small Cap Fund - Direct Plan - Growth Option,ITI Mutual Fund,Small Cap,,2020-02-19,2026-08-03,1589
152614,JM Small Cap Fund (Direct) - Growth Option,JM Financial Mutual Fund,Small Cap,,2024-06-24,2026-08-03,521
152004,LIC MF Small Cap Fund-Direct Plan-Growth,LIC Mutual Fund,Small Cap,,2023-07-31,2026-08-03,739
150915,Mahindra Manulife Small Cap Fund - Direct Plan - Growth,Mahindra Manulife Mutual Fund,Small Cap,,2022-12-14,2026-08-03,894
153196,Mirae Asset Small Cap Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Small Cap,,2025-02-03,2026-08-03,368
152237,Motilal Oswal Small Cap Fund - Direct - Growth,Motilal Oswal Mutual Fund,Small Cap,,2023-12-29,2026-08-03,638
118777,Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,Nippon India Mutual Fund,Small Cap,,2013-01-03,2026-08-03,3340
149019,PGIM India Small Cap Fund - Direct Plan- Growth Option,PGIM India Mutual Fund,Small Cap,,2021-08-02,2026-08-03,1232
152107,QUANTUM SMALL CAP FUND - DIRECT PLAN GROWTH OPTION,Quantum Mutual Fund,Small Cap,,2023-11-03,2026-08-03,672
145206,Tata Small Cap Fund-Direct Plan-Growth,Tata Mutual Fund,Small Cap,,2018-11-13,2026-08-03,1902
154269,The Wealth Company Small Cap Fund- Direct-Growth,The Wealth Company Mutual Fund,Small Cap,,2026-03-30,2026-08-03,86
152939,TRUSTMF SMALL CAP FUND -DIRECT PLAN-GROWTH,Trust Mutual Fund,Small Cap,,2024-11-05,2026-08-03,430
129649,Union Small Cap Fund - Direct Plan - Growth Option,Union Mutual Fund,Small Cap,,2014-06-17,2026-08-03,2982
148618,UTI Small Cap Fund - Direct Plan - Growth Option,UTI Mutual Fund,Small Cap,,2020-12-23,2026-08-03,1381
149166,Axis Value Fund - Direct Plan - Growth,Axis Mutual Fund,Value/Contra,,2021-09-28,2026-08-03,1201
151755,Baroda BNP Paribas Value Fund - Direct Plan - Growth option,Baroda BNP Paribas Mutual Fund,Value/Contra,,2023-06-09,2026-08-03,774
149085,Canara Robeco Value Fund - Direct Plan - Growth Option,Canara Robeco Mutual Fund,Value/Contra,,2021-09-06,2026-08-03,1208
148595,DSP Value Fund - Direct Plan - Growth,DSP Mutual Fund,Value/Contra,,2020-12-11,2026-07-31,1308
151113,HSBC Value Fund - Direct Growth,HSBC Mutual Fund,Value/Contra,,2022-11-28,2026-08-03,906
120323,ICICI Prudential Value Fund (erstwhile Value Discovery Fund) - Direct Plan - Growth,ICICI Prudential Mutual Fund,Value/Contra,,2013-01-02,2026-08-03,3341
148972,ITI Value Fund - Direct Plan - Growth Option,ITI Mutual Fund,Value/Contra,,2021-06-17,2026-08-03,1262
120486,JM Value Fund (Direct) - Growth Option,JM Financial Mutual Fund,Value/Contra,,2013-01-02,2026-08-03,3342
152018,LIC MF Value Fund-Direct Plan-Growth,LIC Mutual Fund,Value/Contra,,2023-07-31,2026-08-03,739
153303,Mahindra Manulife Value Fund - Direct Plan - Growth,Mahindra Manulife Mutual Fund,Value/Contra,,2025-03-05,2026-08-03,347
149335,Quant Value Fund - Growth Option  - Direct Plan,quant Mutual Fund,Value/Contra,,2021-12-01,2026-08-03,1151
145473,Union Value Fund - Direct Plan - Growth Option,Union Mutual Fund,Value/Contra,,2018-12-12,2026-08-03,1881
120751,UTI Value Fund - Direct Plan - Growth Option,UTI Mutual Fund,Value/Contra,,2013-01-02,2026-08-03,3341
120348,Invesco India Contra Fund - Direct Plan - Growth,Invesco Mutual Fund,Value/Contra,,2013-01-02,2026-08-03,3342
120416,Invesco India ELSS Tax Saver Fund - Direct Plan - Growth,Invesco Mutual Fund,ELSS,,2013-01-02,2026-08-03,3342
139781,Mahindra Manulife ELSS Tax Saver Fund - Direct Plan -Growth,Mahindra Manulife Mutual Fund,ELSS,,2016-10-19,2026-08-03,2413
151611,NJ ELSS Tax Saver Scheme Direct Growth,NJ Mutual Fund,ELSS,,2023-06-19,2026-08-03,768
149763,Invesco India Flexi Cap Fund - Direct Plan - Growth,Invesco Mutual Fund,Flexi Cap,,2022-02-16,2026-08-03,1097
149104,Mahindra Manulife Flexi Cap Fund - Direct Plan -Growth,Mahindra Manulife Mutual Fund,Flexi Cap,,2021-08-25,2026-08-03,1216
151917,NJ Flexi Cap Fund - Direct Plan - Growth Option,NJ Mutual Fund,Flexi Cap,,2023-09-06,2026-08-03,713
148481,Invesco India Focused Fund - Direct Plan - Growth,Invesco Mutual Fund,Focused,,2020-10-01,2026-08-03,1437
148567,Mahindra Manulife Focused Fund - Direct Plan -Growth,Mahindra Manulife Mutual Fund,Focused,,2020-11-19,2026-08-03,1404
120357,Invesco India Large & Mid Cap Fund - Direct Plan - Growth,Invesco Mutual Fund,Large & Mid Cap,,2013-01-02,2026-08-03,3342
154433,TRUSTMF LARGE & MIDCAP FUND - DIRECT PLAN - GROWTH,Trust Mutual Fund,Large & Mid Cap,,2026-07-30,2026-08-03,3
120392,Invesco India Largecap Fund - Direct Plan - Growth,Invesco Mutual Fund,Large Cap,,2013-01-02,2026-08-03,3342
146549,Mahindra Manulife Large Cap Fund - Direct Plan -Growth,Mahindra Manulife Mutual Fund,Large Cap,,2019-03-19,2026-08-03,1816
120403,Invesco India Midcap Fund - Direct Plan - Growth Option,Invesco Mutual Fund,Mid Cap,,2013-01-02,2026-08-03,3342
153034,Groww Multicap Fund - Direct - Growth,Groww Mutual Fund,Multi Cap,,2024-12-18,2026-08-03,400
154063,Groww Small Cap Fund-Direct-Growth,Groww Mutual Fund,Small Cap,,2026-02-02,2026-08-03,124
145137,Invesco India Smallcap Fund - Direct Plan - Growth,Invesco Mutual Fund,Small Cap,,2018-11-02,2026-08-03,1907
135341,Groww Value Fund (formerly known as Indiabulls Value Fund) - Direct Plan - Growth Option,Groww Mutual Fund,Value/Contra,,2015-09-09,2026-08-03,2681
154456,NJ Value Fund - Direct Growth,NJ Mutual Fund,Value/Contra,,2026-08-03,2026-08-03,1
151901,HDFC Transportation and Logistics Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Sectoral/Thematic,Auto/Transportation,2023-08-17,2026-08-06,730
152158,Aditya Birla Sun Life Transportation and Logistics Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Sectoral/Thematic,Auto/Transportation,2023-11-21,2026-08-06,667
152657,SBI Automotive Opportunities Fund - Direct Plan - Growth,SBI Mutual Fund,Sectoral/Thematic,Auto/Transportation,2024-06-12,2026-08-06,540
153118,Kotak Transportation & Logistics Fund-Direct Growth,Kotak Mahindra Mutual Fund,Sectoral/Thematic,Auto/Transportation,2024-12-23,2026-08-06,400
118588,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Bonus Option,Nippon India Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2013-01-02,2026-08-06,3345
120244,ICICI Prudential Banking and Financial Services Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2013-01-02,2026-08-06,3345
120385,Invesco India Financial Services Fund - Direct Plan - Growth,Invesco Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2013-01-02,2026-08-06,3345
120733,UTI Banking and Financial Services Fund - Direct Plan - Growth Option,UTI Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2013-01-02,2026-08-06,3345
125597,Aditya Birla Sun Life Banking and Financial Services Fund - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2013-12-18,2026-08-06,3106
133859,SBI BANKING & FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH,SBI Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2015-03-05,2026-08-06,2822
134017,LIC MF Banking and Financial Services Fund-Direct Plan-Growth,LIC Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2015-03-30,2026-08-06,2796
135793,Tata Banking And Financial Services Fund-Direct Plan-Growth,Tata Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2015-12-29,2026-08-06,2613
148623,Mirae Asset Banking and Financial Services Fund Direct Growth,Mirae Asset Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2020-12-14,2026-08-06,1391
148986,HDFC Banking & Financial Services Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2021-07-01,2026-08-06,1256
149321,ITI Banking and Financial Services Fund - Direct Plan - Growth Option,ITI Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2021-12-08,2026-08-06,1148
151384,Kotak Banking & Financial Services Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2023-03-06,2026-08-06,840
151791,quant BFSI Fund - Growth Option - Direct Plan,quant Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2023-06-21,2026-08-06,769
151816,BANDHAN FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH,Bandhan Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2023-07-31,2026-08-06,751
152206,DSP Banking & Financial Services Fund - Direct - Growth,DSP Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2023-12-11,2026-08-06,654
152254,Groww Banking & Financial Services Fund - Direct Plan - Growth,Groww Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2024-02-07,2026-08-06,615
152321,WhiteOak Capital Banking & Financial Services Fund - Direct Growth,WhiteOak Capital Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2024-02-07,2026-08-06,615
152679,Helios Financial Services Fund - Direct Plan - Growth Option,Helios Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2024-06-25,2026-08-06,523
153266,HSBC Financial Services Fund - Direct Growth,HSBC Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2025-03-04,2026-08-06,351
